GEOID,Normal_temp,raw_temp,Normalized precip,Normalized_sqrt_forest,Normalized_log_shrub,Normal_bird,raw_bird,Normal_mammal,raw_mammal,Normal_reptile,raw_reptile,Normal_wind,Normal_CF,raw_cf,Normal_WF,raw_wf,Normal_WSF,raw_wsf,BWS_norm,raw_bws,SV_norm,raw_sv,WSV_norm,raw_wsv,pop_den_norm,raw_pop,dustiness,SUM,four_SUM
1001,0.285777818,0.714222182,0.659065079,0.695242479,0.086608289,0.465185311,0.534814689,0.426215734,0.573784266,0.588608123,0.411391877,0.194360209,0.484152843,0.515847157,0.500714414,0.499285586,0.844725804,0.155274196,0.990768798,0.009231202,0.654156724,0.345843276,0.8532416,0.1467584,0.624782877,0.375217123,0.981222192,0.583426768,0.662226001
1003,0.214399253,0.785600747,0.838771776,0.530056737,0.041451698,0.546489139,0.453510861,0.390621144,0.609378856,0.474574878,0.525425122,0.441588907,0.603572881,0.396427119,0.568232467,0.431767533,0.868703743,0.131296257,0.965490237,0.034509763,0.809572717,0.190427283,0.826407943,0.173592057,0.601139586,0.398860414,1,0.607567069,0.650868237
1005,0.259154688,0.740845312,0.731271711,0.736896287,0.096305088,0.34548473,0.65451527,0.390621144,0.609378856,0.59447884,0.40552116,0.190686189,0.484172329,0.515827671,0.500309963,0.499690037,0.830244981,0.169755019,0.967562517,0.032437483,0.802698655,0.197301345,0.827540706,0.172459294,0.752930796,0.247069204,0.86409092,0.585903097,0.701061098
1007,0.296985226,0.703014774,0.658662515,0.840198146,0.090350184,0.514579559,0.485420441,0.426215734,0.573784266,0.658727811,0.341272189,0.176917373,0.486236657,0.513763343,0.497725139,0.502274861,0.819638004,0.180361996,0.982857583,0.017142417,0.639230744,0.360769256,0.816095288,0.183904712,0.726924177,0.273075823,1,0.601959009,0.718249246
1009,0.365784816,0.634215184,0.667229767,0.739876891,0.025578131,0.472817317,0.527182683,0.472980161,0.527019839,0.524359152,0.475640848,0.247550698,0.503107822,0.496892178,0.504860518,0.495139482,0.828484835,0.171515165,0.983366434,0.016633566,0.645065205,0.354934795,0.82061695,0.17938305,0.634190882,0.365809118,1,0.589741849,0.676415108
1011,0.29395327,0.70604673,0.663337787,0.726684641,0.083975192,0.514579559,0.485420441,0.492643762,0.507356238,0.658727811,0.341272189,0.206210292,0.485049127,0.514950873,0.499423595,0.500576405,0.834105018,0.165894982,0.979368767,0.020631233,0.743427774,0.256572226,0.8379537,0.1620463,0.800769764,0.199230236,0.952738127,0.610809262,0.711652138
1013,0.271096989,0.728903011,0.707051639,0.789898542,0.095826658,0.472817317,0.527182683,0.550674217,0.449325783,0.59447884,0.40552116,0.199122194,0.484152843,0.515847157,0.500714414,0.499285586,0.822768151,0.177231849,0.995446173,0.004553827,0.724667174,0.275332826,0.838740644,0.161259356,0.765589732,0.234410268,1,0.613315345,0.715602317
1015,0.345621362,0.654378638,0.648201456,0.776170836,0.032808362,0.5563418,0.4436582,0.492643762,0.507356238,0.626603325,0.373396675,0.231165592,0.489342077,0.510657923,0.502552919,0.497447081,0.846296354,0.153703646,0.985149982,0.014850018,0.650176224,0.349823776,0.850476884,0.149523116,0.562421749,0.437578251,1,0.599748293,0.668557754
1017,0.321544067,0.678455933,0.674426048,0.772484496,0.096466094,0.514579559,0.485420441,0.534743227,0.465256773,0.749096098,0.250903902,0.197885897,0.485260975,0.514739025,0.499119619,0.500880381,0.833950281,0.166049719,0.962051485,0.037948515,0.725644433,0.274355567,0.853072956,0.146927044,0.683215175,0.316784825,1,0.618971276,0.693727732
1019,0.359777717,0.640222283,0.646807058,0.730729105,0.04363347,0.595883387,0.404116613,0.51984078,0.48015922,0.520148975,0.479851025,0.215786101,0.535896445,0.464103555,0.519787996,0.480212004,0.861024935,0.138975065,0.985149982,0.014850018,0.650176224,0.349823776,0.850476884,0.149523116,0.707548045,0.292451955,1,0.608916694,0.708799633
1021,0.296985226,0.703014774,0.693316149,0.742886204,0.090708486,0.514579559,0.485420441,0.457049171,0.542950829,0.59447884,0.40552116,0.225810417,0.484480043,0.515519957,0.500242287,0.499757713,0.840254701,0.159745299,0.984728846,0.015271154,0.647964719,0.352035281,0.840141066,0.159858934,0.665217403,0.334782597,1,0.598677695,0.683209588
1023,0.268092472,0.731907528,0.718817528,0.792735097,0.095760249,0.436641219,0.563358781,0.426215734,0.573784266,0.651148916,0.348851084,0.136136508,0.47891568,0.52108432,0.500513112,0.499486888,0.843906639,0.156093361,0.987132178,0.012867822,0.693473306,0.306526694,0.798983246,0.201016754,0.817181019,0.182818981,1,0.602853306,0.733184609
1025,0.261591602,0.738408398,0.753310086,0.787104164,0.084368081,0.49863859,0.50136141,0.339095563,0.660904437,0.632474042,0.367525958,0.184631383,0.425049382,0.574950618,0.522724251,0.477275749,0.854052845,0.145947155,0.992635967,0.007364033,0.649590068,0.350409932,0.82589275,0.17410725,0.79111177,0.20888823,1,0.600141909,0.71432954
1027,0.355126421,0.644873579,0.661263276,0.860010078,0.069698428,0.514579559,0.485420441,0.426215734,0.573784266,0.626603325,0.373396675,0.302826851,0.484459444,0.515540556,0.50027198,0.49972802,0.83674586,0.16325414,0.979874591,0.020125409,0.660099404,0.339900596,0.852925046,0.147074954,0.765482004,0.234517996,1,0.618511375,0.736674347
1029,0.372731843,0.627268157,0.660305687,0.887443875,0.065381741,0.431055076,0.568944924,0.421454581,0.578545419,0.562354354,0.437645646,0.286865079,0.495033084,0.504966916,0.502025952,0.497974048,0.829284405,0.170715595,0.979874591,0.020125409,0.660099404,0.339900596,0.852925046,0.147074954,0.748156772,0.251843228,0.96987173,0.607803951,0.739979534
1031,0.253100012,0.746899988,0.687164941,0.652918811,0.062138953,0.673821727,0.326178273,0.534743227,0.465256773,0.724550508,0.275449492,0.243677418,0.484152843,0.515847157,0.500714414,0.499285586,0.818657571,0.181342429,0.988617226,0.011382774,0.831048793,0.168951207,0.816986782,0.183013218,0.645061305,0.354938695,1,0.619834658,0.650197633
1033,0.339658389,0.660341611,0.6735125,0.69438368,0.043714365,0.472817317,0.527182683,0.550674217,0.449325783,0.692426022,0.307573978,0.25637299,0.59441082,0.40558918,0.548379198,0.451620802,0.875620158,0.124379842,0.978772071,0.021227929,0.651591855,0.348408145,0.813533988,0.186466012,0.632275846,0.367724154,1,0.613633964,0.699172626
1035,0.256053824,0.743946176,0.711175835,0.76959075,0.101168569,0.472817317,0.527182683,0.390621144,0.609378856,0.660843531,0.339156469,0.180760565,0.484153074,0.515846926,0.50071408,0.49928592,0.834334089,0.165665911,0.994212032,0.005787968,0.744305366,0.255694634,0.833694243,0.166305757,0.817574131,0.182425869,0.89794114,0.603122481,0.726413011
1037,0.30543845,0.69456155,0.676917948,0.8836383,0.099435067,0.465185311,0.534814689,0.492643762,0.507356238,0.626603325,0.373396675,0.216972179,0.484152843,0.515847157,0.500714414,0.499285586,0.843789237,0.156210763,0.979874591,0.020125409,0.660099404,0.339900596,0.852925046,0.147074954,0.802964819,0.197035181,1,0.618209669,0.7536363
1039,0.241219625,0.758780375,0.73733844,0.742055823,0.057078538,0.660603578,0.339396422,0.457049171,0.542950829,0.626603325,0.373396675,0.218212295,0.484152843,0.515847157,0.500714414,0.499285586,0.825015123,0.174984877,0.990286081,0.009713919,0.853062346,0.146937654,0.825755124,0.174244876,0.725292019,0.274707981,1,0.621527422,0.694128952
1041,0.256053824,0.743946176,0.664871555,0.742665968,0.095460117,0.546489139,0.453510861,0.571366361,0.428633639,0.613153713,0.386846287,0.208897878,0.484152843,0.515847157,0.500714414,0.499285586,0.82229268,0.17770732,0.991154614,0.008845386,0.789550342,0.210449658,0.829763033,0.170236967,0.773714409,0.226285591,1,0.618143806,0.705706475
1043,0.374827981,0.625172019,0.699880015,0.662757807,0.021814835,0.472817317,0.527182683,0.457049171,0.542950829,0.556483638,0.443516362,0.211310932,0.544008863,0.455991137,0.523261228,0.476738772,0.851168352,0.148831648,0.982478567,0.017521433,0.642509696,0.357490304,0.80590976,0.19409024,0.606196793,0.393803207,1,0.588279685,0.666032954
