GEOID,env_score,source
4013,0,Labeled
4019,0,Labeled
4021,0,Labeled
8001,0,Labeled
8005,0,Labeled
8011,0,Labeled
8014,0,Labeled
8025,0,Labeled
8031,0,Labeled
8039,0,Labeled
8041,0,Labeled
8063,0,Labeled
8073,0,Labeled
8087,0,Labeled
8089,0,Labeled
8099,0,Labeled
8121,0,Labeled
8123,0,Labeled
8125,0,Labeled
16017,1,Labeled
16021,1,Labeled
16035,1,Labeled
16049,1,Labeled
16079,1,Labeled
20187,0,Labeled
23003,1,Labeled
23021,1,Labeled
23025,1,Labeled
30053,1,Labeled
30061,1,Labeled
30089,1,Labeled
31007,0,Labeled
31013,0,Labeled
35045,0,Labeled
36019,1,Labeled
36031,1,Labeled
36033,1,Labeled
36041,1,Labeled
41019,1,Labeled
41057,1,Labeled
48141,0,Labeled
48329,0,Labeled
49015,0,Labeled
49035,0,Labeled
49049,0,Labeled
50001,1,Labeled
50009,1,Labeled
50011,1,Labeled
50015,1,Labeled
50019,1,Labeled
50021,1,Labeled
50023,1,Labeled
53007,1,Labeled
53027,1,Labeled
53031,1,Labeled
53041,1,Labeled
53051,1,Labeled
53059,1,Labeled
53069,1,Labeled
56021,0,Labeled
56025,0,Labeled
56037,0,Labeled
55051,1,Labeled
55061,1,Labeled
28131,1,Labeled
26009,1,Labeled
28041,1,Labeled
28063,1,Labeled
28111,1,Labeled
26063,1,Labeled
55078,1,Labeled
55037,1,Labeled
26129,1,Labeled
34017,0,Labeled
20173,0,Labeled
31119,0,Labeled
31109,0,Labeled
36061,0,Labeled
1001,0.787550291,Predicted
1003,0.629985955,Predicted
1005,0.802099471,Predicted
1007,0.802099471,Predicted
1009,0.787550291,Predicted
1011,0.802099471,Predicted
1013,0.802099471,Predicted
1015,0.787550291,Predicted
1017,0.802099471,Predicted
1019,0.802099471,Predicted
1021,0.802099471,Predicted
1023,0.802099471,Predicted
1025,0.808138997,Predicted
1027,0.802099471,Predicted
1029,0.802099471,Predicted
1031,0.802099471,Predicted
1033,0.787550291,Predicted
1035,0.802099471,Predicted
1037,0.802099471,Predicted
1039,0.802099471,Predicted
1041,0.802099471,Predicted
1043,0.787550291,Predicted
1045,0.795050291,Predicted
1047,0.783945625,Predicted
1049,0.787550291,Predicted
1051,0.787550291,Predicted
1053,0.808138997,Predicted
1055,0.787550291,Predicted
1057,0.802099471,Predicted
1059,0.802099471,Predicted
1061,0.631446429,Predicted
1063,0.717702429,Predicted
1065,0.783945625,Predicted
1067,0.802099471,Predicted
1069,0.588690508,Predicted
1071,0.816905027,Predicted
1073,0.793589816,Predicted
1075,0.802099471,Predicted
1077,0.717958804,Predicted
1079,0.783945625,Predicted
1081,0.787550291,Predicted
1083,0.603496063,Predicted
1085,0.802099471,Predicted
1087,0.802099471,Predicted
1089,0.631702805,Predicted
1091,0.802099471,Predicted
1093,0.802099471,Predicted
1095,0.787550291,Predicted
1097,0.622936775,Predicted
1099,0.802099471,Predicted
1101,0.616897249,Predicted
1103,0.727714902,Predicted
1105,0.802099471,Predicted
1107,0.802099471,Predicted
1109,0.802099471,Predicted
1111,0.802099471,Predicted
1113,0.787550291,Predicted
1115,0.787550291,Predicted
1117,0.787550291,Predicted
1119,0.802099471,Predicted
1121,0.787550291,Predicted
1123,0.802099471,Predicted
1125,0.793589816,Predicted
1127,0.802099471,Predicted
1129,0.799189502,Predicted
1131,0.802099471,Predicted
1133,0.802099471,Predicted
